Dge ba'i go cha,དགེ་བའི་གོ་ཆ
Camari,
Dad byed go chas,དད་བྱེད་གོ་ཆས
shāntirakṣita,
Dpa' bo rdo rje pa,དཔའ་བོ་རྡོ་རྗེ་པ
Sangs rgyas ye shes (Buddhajnyāna),སངས་རྒྱས་ཡེ་ཤེས
Bodhisattva,
Bde byed bdag po,བདེ་བྱེད་བདག་པོ
Navidharma,
Shi ba 'tsho,ཞི་བ་འཚོ
Ganggādhara,
Rdo rje snying po,རྡོ་རྗེ་སྙིང་པོ
Gsang bas byin,གསང་བས་བྱིན
shāntarakṣita,
Rgyal ba'i dbang po blo gros,རྒྱལ་བའི་དབང་པོ་བློ་གྲོས
Mahiman,
Smṛti,
Legs ldan 'byed,ལེགས་ལྡན་འབྱེད
Trisaraha pa,
Rab tu shi ba'i bshes gnyen,རབ་ཏུ་ཞི་བའི་བཤེས་གཉེན
Birba pa,
Dārika,
Dhokhindha,
Blo bzangs skyong,བློ་བཟངས་སྐྱོང
Prajnyendraruci,
Arang,
Sabari pa,
Dge ba'i 'byung gnas sbas pa,དགེ་བའི་འབྱུང་གནས་སྦས་པ
Rab dga'i lha,རབ་དགའི་ལྷ
Chos kyi nyi ma,ཆོས་ཀྱི་ཉི་མ
Ye shes dpal bshes gnyen (Jnyānashrīmitra),ཡེ་ཤེས་དཔལ་བཤེས་གཉེན
shānti pa,
Byang chub rdsu 'phrul,བྱང་ཆུབ་རྫུ་འཕྲུལ
Gnyis med rdo rje,གཉིས་མེད་རྡོ་རྗེ
Rdo rje dri bu,རྡོ་རྗེ་དྲི་བུ
Dgon pa ba,དགོན་པ་བ
(Blon po'i rigs) shin tu dga' ba'i paṇḍit,༼བློན་པོའི་རིགས༽ ཤིན་ཏུ་དགའ་བའི་པṇḍཨིཏ
Kumārabodhi,
Canaka,
Kusali pa           ,
Mi gyo seng ge,མི་གྱོ་སེང་གེ
Auḍyān du grub pa,ཨཽḍཡāན་དུ་གྲུབ་པ
Dge ba'i mgon po,དགེ་བའི་མགོན་པོ
Chos mchog (Dharmottara),ཆོས་མཆོག
Rnam par snang mdsad rdo rje,རྣམ་པར་སྣང་མཛད་རྡོ་རྗེ
Ḍombi heruka,
Zla ba grags pa(?),ཟླ་བ་གྲགས་པ༼?༽
shāntigarbha,
Lo paṇ mang po,
Masurakṣa,
ngag gi dbang phyug grags pa,ངག་གི་དབང་ཕྱུག་གྲགས་པ
Byang chub bzang po,བྱང་ཆུབ་བཟང་པོ
Pha gol (Vāgbhata),ཕ་གོལ
Mtha' yas lha,མཐའ་ཡས་ལྷ
Kangkana,
Skye med bde chen (N),སྐྱེ་མེད་བདེ་ཆེན ༼ན༽
Dpal gyi sde (N),དཔལ་གྱི་སྡེ ༼ན༽
Thams cad mkhyen pa'i bshes gnyen,ཐམས་ཅད་མཁྱེན་པའི་བཤེས་གཉེན
Rdo rje gsang ba,རྡོ་རྗེ་གསང་བ
shrīvajrakīrti,
Rdo rje sgeg pa,རྡོ་རྗེ་སྒེག་པ
Durgasingha,
Dpa' bo rdo rje,དཔའ་བོ་རྡོ་རྗེ
nyi ma sbas pa (K),ཉི་མ་སྦས་པ ༼ཀ༽
Seng ge bzang po,སེང་གེ་བཟང་པོ
Gnyis su med pa,གཉིས་སུ་མེད་པ
Zla ba'i 'od,ཟླ་བའི་འོད
[Nāgārjuna],
Ratnakīrti,
Balashrībhadra,
Padma dge bsnyen,པདྨ་དགེ་བསྙེན
Daṁṣṭrasena,དṁṣṭརསེན
Las kyi rdo rje,ལས་ཀྱི་རྡོ་རྗེ
Rgya ba can (Jina),རྒྱ་བ་ཅན
shākya blo,ཤྰཀྱ་བློ
